,Experiment name:,Amarillo_25
Duration:,5 Seconds
'1.87,0.50
'1.88,0.50
'1.89,0.50
'1.9,0.50
'1.91,0.50
'1.92,0.50
'1.93,0.50
'1.94,0.50
'1.95,0.50
'1.96,0.50
'1.97,0.50
'1.98,0.50
'1.99,0.50
'2.0,0.50
'2.01,0.50
'2.02,0.50
'2.03,0.50
'2.04,0.50
'2.05,0.50
'2.06,0.50
'2.07,0.50
'2.08,0.50
'2.09,0.50
'2.1,0.50
'2.11,0.50
'2.12,0.50
'2.13,0.50
'2.14,0.50
'2.15,0.50
'2.16,0.50
'2.17,0.50
'2.18,0.50
'2.19,0.50
'2.2,0.50
'2.21,0.50
'2.22,0.50
'2.23,0.50
'2.24,0.50
'2.25,0.50
'2.26,0.50
'2.27,0.50
'2.28,0.50
'2.29,0.50
'2.3,0.50
'2.31,0.50
'2.32,0.50
'2.33,0.50
'2.34,0.50
'2.35,0.50
'2.36,0.50
'2.37,0.50
'2.38,0.50
'2.39,0.50
'2.4,0.50
'2.41,0.50
'2.42,0.50
'2.43,0.50
'2.44,0.50
'2.45,0.50
'2.46,0.50
'2.47,0.50
'2.48,0.50
'2.49,0.50
'2.5,0.50
'2.51,0.50
'2.52,0.50
'2.53,0.50
'2.54,0.50
'2.55,0.50
'2.56,0.50
'2.57,0.50
'2.58,0.50
'2.59,0.50
'2.6,0.50
'2.61,0.50
'2.62,0.50
'2.63,0.50
'2.64,0.50
'2.65,0.50
'2.66,0.50
'2.67,0.50
'2.68,0.50
'2.69,0.50
'2.7,0.50
'2.71,0.50
'2.72,0.50
'2.73,0.50
'2.74,0.50
'2.75,0.50
'2.76,0.50
'2.77,0.50
'2.78,0.50
'2.79,0.50
'2.8,0.50
'2.81,0.50
'2.82,0.50
'2.83,0.50
'2.84,0.50
'2.85,0.50
'2.86,0.50
'2.87,0.50
'2.88,0.50
'2.89,0.50
'2.9,0.50
'2.91,0.50
'2.92,0.50
'2.93,0.50
'2.94,0.50
'2.95,0.50
'2.96,0.50
'2.97,0.50
'2.98,0.50
'2.99,0.50
'3.0,0.50
'3.01,0.50
'3.02,0.50
'3.03,0.50
'3.04,0.50
'3.05,0.50
'3.06,0.50
'3.07,0.50
'3.08,0.50
'3.09,0.50
'3.1,0.50
'3.11,0.50
'3.12,0.50
'3.13,0.50
'3.14,0.50
'3.15,0.50
'3.16,0.50
'3.17,0.50
'3.18,0.50
'3.19,0.50
'3.2,0.50
'3.21,0.50
'3.22,0.50
'3.23,0.50
'3.24,0.50
'3.25,0.50
'3.26,0.50
'3.27,0.50
'3.28,0.50
'3.29,0.50
'3.3,0.50
'3.31,0.50
'3.32,0.50
'3.33,0.50
'3.34,0.50
'3.35,0.50
'3.36,0.50
'3.37,0.50
'3.38,0.50
'3.39,0.50
'3.4,0.50
'3.41,0.50
'3.42,0.50
'3.43,0.50
'3.44,0.50
'3.45,0.50
'3.46,0.50
'3.47,0.50
'3.48,0.50
'3.49,0.50
'3.5,0.50
'3.51,0.50
'3.52,0.50
'3.53,0.50
'3.54,0.50
'3.55,0.50
'3.56,0.50
'3.57,0.50
'3.58,0.50
'3.59,0.50
'3.6,0.50
'3.61,0.50
'3.62,0.50
'3.63,0.50
'3.64,0.50
'3.65,0.50
'3.66,0.50
'3.67,0.50
'3.68,0.50
'3.69,0.50
'3.7,0.50
'3.71,0.50
'3.72,0.50
'3.73,0.50
'3.74,0.50
'3.75,0.50
'3.76,0.50
'3.77,0.50
'3.78,0.50
'3.79,0.50
'3.8,0.50
'3.81,0.50
'3.82,0.50
'3.83,0.50
'3.84,0.50
'3.85,0.50
'3.86,0.50
'3.87,0.50
'3.88,0.50
'3.89,0.50
'3.9,0.50
'3.91,0.50
'3.92,0.50
'3.93,0.50
'3.94,0.50
'3.95,0.50
'3.96,0.50
'3.97,0.50
'3.98,0.50
'3.99,0.50
'4.0,0.50
'4.01,0.50
'4.02,0.50
'4.03,0.50
'4.04,0.50
'4.05,0.50
'4.06,0.50
'4.07,0.50
'4.08,0.50
'4.09,0.50
'4.1,0.50
'4.11,0.50
'4.12,0.50
'4.13,0.50
'4.14,0.50
'4.15,0.50
'4.16,0.50
'4.17,0.50
'4.18,0.50
'4.19,0.50
'4.2,0.50
'4.21,0.50
'4.22,0.50
'4.23,0.50
'4.24,0.50
'4.25,0.50
'4.26,0.50
'4.27,0.50
'4.28,0.50
'4.29,0.50
'4.3,0.50
'4.31,0.50
'4.32,0.50
'4.33,0.50
'4.34,0.50
'4.35,0.50
'4.36,0.50
'4.37,0.50
'4.38,0.50
'4.39,0.50
'4.4,0.50
'4.41,0.50
'4.42,0.50
'4.43,0.50
'4.44,0.50
'4.45,0.50
'4.46,0.50
'4.47,0.50
'4.48,0.50
'4.49,0.50
'4.5,0.50
'4.51,0.50
'4.52,0.50
'4.53,0.50
'4.54,0.50
'4.55,0.50
'4.56,0.50
'4.57,0.50
'4.58,0.50
'4.59,0.50
'4.6,0.50
'4.61,0.50
'4.62,0.50
'4.63,0.50
'4.64,0.50
'4.65,0.50
'4.66,0.50
'4.67,0.50
'4.68,0.50
'4.69,0.50
'4.7,0.50
'4.71,0.50
'4.72,0.50
'4.73,0.50
'4.74,0.50
'4.75,0.50
'4.76,0.50
'4.77,0.50
'4.78,0.50
'4.79,0.50
'4.8,0.50
'4.81,0.50
'4.82,0.50
'4.83,0.50
'4.84,0.50
'4.85,0.50
'4.86,0.50
'4.87,0.50
'4.88,0.50
'4.89,0.50
'4.9,0.50
'4.91,0.50
'4.92,0.50
'4.93,0.50
'4.94,0.50
'4.95,0.50
'4.96,0.50
'4.97,0.50
'4.98,0.50
'4.99,0.50
'5.0,0.50

sys info:[91~54~52~93~44~91~34~50~54~126~49~126~49~126~54~126~35~54~98~49~97~54~98~126~76~101~102~116~126~52~126~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~54~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~53~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~50~54~45~48~51~45~48~54~32~49~56~58~52~52~58~53~53~46~55~56~49~48~48~48~34~93]

Attention! Any change in the file may prevent reading its data.
