,Experiment name:,Amarillo_10
Duration:,5 Seconds
'1.87,0.21
'1.88,0.21
'1.89,0.21
'1.9,0.21
'1.91,0.21
'1.92,0.21
'1.93,0.21
'1.94,0.21
'1.95,0.21
'1.96,0.21
'1.97,0.21
'1.98,0.21
'1.99,0.21
'2.0,0.21
'2.01,0.21
'2.02,0.21
'2.03,0.21
'2.04,0.21
'2.05,0.21
'2.06,0.21
'2.07,0.21
'2.08,0.21
'2.09,0.21
'2.1,0.21
'2.11,0.21
'2.12,0.21
'2.13,0.21
'2.14,0.21
'2.15,0.21
'2.16,0.21
'2.17,0.21
'2.18,0.21
'2.19,0.21
'2.2,0.21
'2.21,0.21
'2.22,0.21
'2.23,0.21
'2.24,0.21
'2.25,0.21
'2.26,0.21
'2.27,0.21
'2.28,0.21
'2.29,0.21
'2.3,0.21
'2.31,0.21
'2.32,0.21
'2.33,0.21
'2.34,0.21
'2.35,0.21
'2.36,0.21
'2.37,0.21
'2.38,0.21
'2.39,0.21
'2.4,0.21
'2.41,0.21
'2.42,0.21
'2.43,0.21
'2.44,0.21
'2.45,0.21
'2.46,0.21
'2.47,0.21
'2.48,0.21
'2.49,0.21
'2.5,0.21
'2.51,0.21
'2.52,0.21
'2.53,0.21
'2.54,0.21
'2.55,0.21
'2.56,0.21
'2.57,0.21
'2.58,0.21
'2.59,0.21
'2.6,0.21
'2.61,0.21
'2.62,0.21
'2.63,0.21
'2.64,0.21
'2.65,0.21
'2.66,0.21
'2.67,0.21
'2.68,0.21
'2.69,0.21
'2.7,0.21
'2.71,0.21
'2.72,0.21
'2.73,0.21
'2.74,0.21
'2.75,0.21
'2.76,0.21
'2.77,0.21
'2.78,0.21
'2.79,0.21
'2.8,0.21
'2.81,0.21
'2.82,0.21
'2.83,0.21
'2.84,0.21
'2.85,0.21
'2.86,0.21
'2.87,0.21
'2.88,0.21
'2.89,0.21
'2.9,0.21
'2.91,0.21
'2.92,0.21
'2.93,0.21
'2.94,0.21
'2.95,0.21
'2.96,0.21
'2.97,0.21
'2.98,0.21
'2.99,0.21
'3.0,0.21
'3.01,0.21
'3.02,0.21
'3.03,0.21
'3.04,0.21
'3.05,0.21
'3.06,0.21
'3.07,0.21
'3.08,0.21
'3.09,0.21
'3.1,0.21
'3.11,0.21
'3.12,0.21
'3.13,0.21
'3.14,0.21
'3.15,0.21
'3.16,0.21
'3.17,0.21
'3.18,0.21
'3.19,0.21
'3.2,0.21
'3.21,0.21
'3.22,0.21
'3.23,0.21
'3.24,0.21
'3.25,0.21
'3.26,0.21
'3.27,0.21
'3.28,0.21
'3.29,0.21
'3.3,0.21
'3.31,0.21
'3.32,0.21
'3.33,0.21
'3.34,0.21
'3.35,0.21
'3.36,0.21
'3.37,0.21
'3.38,0.21
'3.39,0.21
'3.4,0.21
'3.41,0.21
'3.42,0.21
'3.43,0.21
'3.44,0.21
'3.45,0.21
'3.46,0.21
'3.47,0.21
'3.48,0.21
'3.49,0.21
'3.5,0.21
'3.51,0.21
'3.52,0.21
'3.53,0.21
'3.54,0.21
'3.55,0.21
'3.56,0.21
'3.57,0.21
'3.58,0.21
'3.59,0.21
'3.6,0.21
'3.61,0.21
'3.62,0.21
'3.63,0.21
'3.64,0.21
'3.65,0.21
'3.66,0.21
'3.67,0.21
'3.68,0.21
'3.69,0.21
'3.7,0.21
'3.71,0.21
'3.72,0.21
'3.73,0.21
'3.74,0.21
'3.75,0.21
'3.76,0.21
'3.77,0.21
'3.78,0.21
'3.79,0.21
'3.8,0.21
'3.81,0.21
'3.82,0.21
'3.83,0.21
'3.84,0.21
'3.85,0.21
'3.86,0.21
'3.87,0.21
'3.88,0.21
'3.89,0.21
'3.9,0.21
'3.91,0.21
'3.92,0.21
'3.93,0.21
'3.94,0.21
'3.95,0.21
'3.96,0.21
'3.97,0.21
'3.98,0.21
'3.99,0.21
'4.0,0.21
'4.01,0.21
'4.02,0.21
'4.03,0.21
'4.04,0.21
'4.05,0.21
'4.06,0.21
'4.07,0.21
'4.08,0.21
'4.09,0.21
'4.1,0.21
'4.11,0.21
'4.12,0.21
'4.13,0.21
'4.14,0.21
'4.15,0.21
'4.16,0.21
'4.17,0.21
'4.18,0.21
'4.19,0.21
'4.2,0.21
'4.21,0.21
'4.22,0.21
'4.23,0.21
'4.24,0.21
'4.25,0.21
'4.26,0.21
'4.27,0.21
'4.28,0.21
'4.29,0.21
'4.3,0.21
'4.31,0.21
'4.32,0.21
'4.33,0.21
'4.34,0.21
'4.35,0.21
'4.36,0.21
'4.37,0.21
'4.38,0.21
'4.39,0.21
'4.4,0.21
'4.41,0.21
'4.42,0.21
'4.43,0.21
'4.44,0.21
'4.45,0.21
'4.46,0.21
'4.47,0.21
'4.48,0.21
'4.49,0.21
'4.5,0.21
'4.51,0.21
'4.52,0.21
'4.53,0.21
'4.54,0.21
'4.55,0.21
'4.56,0.21
'4.57,0.21
'4.58,0.21
'4.59,0.21
'4.6,0.21
'4.61,0.21
'4.62,0.21
'4.63,0.21
'4.64,0.21
'4.65,0.21
'4.66,0.21
'4.67,0.21
'4.68,0.21
'4.69,0.21
'4.7,0.21
'4.71,0.21
'4.72,0.21
'4.73,0.21
'4.74,0.21
'4.75,0.21
'4.76,0.21
'4.77,0.21
'4.78,0.21
'4.79,0.21
'4.8,0.21
'4.81,0.21
'4.82,0.21
'4.83,0.21
'4.84,0.21
'4.85,0.21
'4.86,0.21
'4.87,0.21
'4.88,0.21
'4.89,0.21
'4.9,0.21
'4.91,0.21
'4.92,0.21
'4.93,0.21
'4.94,0.21
'4.95,0.21
'4.96,0.21
'4.97,0.21
'4.98,0.21
'4.99,0.21
'5.0,0.21

sys info:[91~54~52~93~44~91~34~50~54~126~49~126~49~126~54~126~35~49~55~51~48~97~57~126~76~101~102~116~126~52~126~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~54~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~53~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~50~54~45~48~51~45~48~54~32~49~56~58~52~51~58~53~57~46~57~49~54~48~48~48~34~93]

Attention! Any change in the file may prevent reading its data.
