,Experiment name:,Azul_75
Duration:,5 Seconds
'1.87,2.25
'1.88,2.25
'1.89,2.25
'1.9,2.25
'1.91,2.25
'1.92,2.25
'1.93,2.25
'1.94,2.25
'1.95,2.25
'1.96,2.25
'1.97,2.25
'1.98,2.25
'1.99,2.25
'2.0,2.25
'2.01,2.25
'2.02,2.25
'2.03,2.25
'2.04,2.25
'2.05,2.25
'2.06,2.25
'2.07,2.25
'2.08,2.25
'2.09,2.25
'2.1,2.25
'2.11,2.25
'2.12,2.25
'2.13,2.25
'2.14,2.25
'2.15,2.25
'2.16,2.25
'2.17,2.25
'2.18,2.25
'2.19,2.25
'2.2,2.25
'2.21,2.25
'2.22,2.22
'2.23,2.22
'2.24,2.22
'2.25,2.22
'2.26,2.22
'2.27,2.22
'2.28,2.22
'2.29,2.22
'2.3,2.22
'2.31,2.22
'2.32,2.22
'2.33,2.22
'2.34,2.22
'2.35,2.22
'2.36,2.22
'2.37,2.22
'2.38,2.22
'2.39,2.22
'2.4,2.22
'2.41,2.22
'2.42,2.22
'2.43,2.22
'2.44,2.22
'2.45,2.22
'2.46,2.22
'2.47,2.22
'2.48,2.22
'2.49,2.22
'2.5,2.22
'2.51,2.22
'2.52,2.22
'2.53,2.22
'2.54,2.22
'2.55,2.22
'2.56,2.22
'2.57,2.22
'2.58,2.22
'2.59,2.22
'2.6,2.22
'2.61,2.22
'2.62,2.22
'2.63,2.22
'2.64,2.22
'2.65,2.22
'2.66,2.22
'2.67,2.22
'2.68,2.22
'2.69,2.22
'2.7,2.22
'2.71,2.22
'2.72,2.22
'2.73,2.22
'2.74,2.22
'2.75,2.22
'2.76,2.22
'2.77,2.22
'2.78,2.22
'2.79,2.22
'2.8,2.22
'2.81,2.22
'2.82,2.22
'2.83,2.22
'2.84,2.22
'2.85,2.22
'2.86,2.22
'2.87,2.22
'2.88,2.22
'2.89,2.22
'2.9,2.22
'2.91,2.22
'2.92,2.22
'2.93,2.22
'2.94,2.22
'2.95,2.22
'2.96,2.22
'2.97,2.22
'2.98,2.22
'2.99,2.22
'3.0,2.22
'3.01,2.22
'3.02,2.22
'3.03,2.22
'3.04,2.22
'3.05,2.22
'3.06,2.22
'3.07,2.22
'3.08,2.22
'3.09,2.22
'3.1,2.22
'3.11,2.22
'3.12,2.22
'3.13,2.22
'3.14,2.22
'3.15,2.22
'3.16,2.22
'3.17,2.22
'3.18,2.22
'3.19,2.22
'3.2,2.22
'3.21,2.22
'3.22,2.22
'3.23,2.22
'3.24,2.22
'3.25,2.22
'3.26,2.22
'3.27,2.22
'3.28,2.22
'3.29,2.22
'3.3,2.22
'3.31,2.22
'3.32,2.22
'3.33,2.22
'3.34,2.22
'3.35,2.22
'3.36,2.22
'3.37,2.22
'3.38,2.22
'3.39,2.22
'3.4,2.22
'3.41,2.22
'3.42,2.22
'3.43,2.22
'3.44,2.22
'3.45,2.22
'3.46,2.22
'3.47,2.22
'3.48,2.22
'3.49,2.22
'3.5,2.22
'3.51,2.22
'3.52,2.22
'3.53,2.22
'3.54,2.22
'3.55,2.22
'3.56,2.22
'3.57,2.22
'3.58,2.22
'3.59,2.22
'3.6,2.22
'3.61,2.22
'3.62,2.22
'3.63,2.22
'3.64,2.22
'3.65,2.22
'3.66,2.22
'3.67,2.22
'3.68,2.22
'3.69,2.22
'3.7,2.22
'3.71,2.22
'3.72,2.22
'3.73,2.22
'3.74,2.22
'3.75,2.22
'3.76,2.22
'3.77,2.22
'3.78,2.22
'3.79,2.22
'3.8,2.22
'3.81,2.22
'3.82,2.22
'3.83,2.22
'3.84,2.22
'3.85,2.22
'3.86,2.22
'3.87,2.22
'3.88,2.22
'3.89,2.22
'3.9,2.22
'3.91,2.22
'3.92,2.22
'3.93,2.22
'3.94,2.22
'3.95,2.22
'3.96,2.22
'3.97,2.22
'3.98,2.22
'3.99,2.22
'4.0,2.22
'4.01,2.22
'4.02,2.22
'4.03,2.22
'4.04,2.22
'4.05,2.22
'4.06,2.22
'4.07,2.22
'4.08,2.22
'4.09,2.22
'4.1,2.22
'4.11,2.22
'4.12,2.22
'4.13,2.22
'4.14,2.22
'4.15,2.22
'4.16,2.22
'4.17,2.22
'4.18,2.22
'4.19,2.22
'4.2,2.22
'4.21,2.22
'4.22,2.22
'4.23,2.22
'4.24,2.22
'4.25,2.22
'4.26,2.22
'4.27,2.22
'4.28,2.22
'4.29,2.22
'4.3,2.22
'4.31,2.22
'4.32,2.22
'4.33,2.22
'4.34,2.22
'4.35,2.22
'4.36,2.22
'4.37,2.22
'4.38,2.22
'4.39,2.22
'4.4,2.22
'4.41,2.22
'4.42,2.22
'4.43,2.22
'4.44,2.22
'4.45,2.22
'4.46,2.22
'4.47,2.22
'4.48,2.22
'4.49,2.22
'4.5,2.22
'4.51,2.22
'4.52,2.22
'4.53,2.22
'4.54,2.22
'4.55,2.22
'4.56,2.22
'4.57,2.22
'4.58,2.22
'4.59,2.22
'4.6,2.22
'4.61,2.22
'4.62,2.22
'4.63,2.22
'4.64,2.22
'4.65,2.22
'4.66,2.22
'4.67,2.22
'4.68,2.22
'4.69,2.22
'4.7,2.22
'4.71,2.22
'4.72,2.22
'4.73,2.22
'4.74,2.22
'4.75,2.25
'4.76,2.25
'4.77,2.25
'4.78,2.25
'4.79,2.25
'4.8,2.25
'4.81,2.25
'4.82,2.25
'4.83,2.25
'4.84,2.25
'4.85,2.25
'4.86,2.25
'4.87,2.25
'4.88,2.25
'4.89,2.25
'4.9,2.25
'4.91,2.25
'4.92,2.25
'4.93,2.25
'4.94,2.25
'4.95,2.25
'4.96,2.25
'4.97,2.25
'4.98,2.25
'4.99,2.25
'5.0,2.25

sys info:[91~54~52~93~44~91~34~50~54~126~49~126~49~126~54~126~35~49~55~51~48~97~57~126~76~101~102~116~126~52~126~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~54~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~53~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~50~54~45~48~51~45~48~54~32~49~56~58~49~52~58~53~57~46~48~51~54~48~48~48~34~93]

Attention! Any change in the file may prevent reading its data.
